2026-04-30T19:26:17Z | +0 new | 1074 total | sources: {"capitol_trades": {"status": "ok", "records": 1104}, "senate_github": {"status": "ok", "records": 0}}
2026-04-30T22:58:32Z | +0 new | 1074 total | sources: {"capitol_trades": {"status": "ok", "records": 1104}, "senate_github": {"status": "ok", "records": 0}}
2026-05-01T11:01:28Z | +0 new | 1074 total | sources: {"capitol_trades": {"status": "ok", "records": 1095}, "senate_github": {"status": "ok", "records": 0}}
2026-05-01T14:45:38Z | +50 new | 1124 total | sources: {"capitol_trades": {"status": "ok", "records": 1138}, "senate_github": {"status": "ok", "records": 0}}
2026-05-01T19:15:55Z | +8 new | 1132 total | sources: {"capitol_trades": {"status": "ok", "records": 1172}, "senate_github": {"status": "ok", "records": 0}}
2026-05-01T22:55:27Z | +0 new | 1132 total | sources: {"capitol_trades": {"status": "ok", "records": 1172}, "senate_github": {"status": "ok", "records": 0}}
2026-05-02T10:56:20Z | +24 new | 1156 total | sources: {"capitol_trades": {"status": "ok", "records": 1215}, "senate_github": {"status": "ok", "records": 0}}
2026-05-04T11:42:24Z | +0 new | 1156 total | sources: {"capitol_trades": {"status": "ok", "records": 1195}, "senate_github": {"status": "ok", "records": 0}}
2026-05-04T19:43:32Z | +0 new | 1156 total | sources: {"capitol_trades": {"status": "ok", "records": 1195}, "senate_github": {"status": "ok", "records": 0}}
2026-05-04T23:00:52Z | +1 new | 1157 total | sources: {"capitol_trades": {"status": "ok", "records": 1196}, "senate_github": {"status": "ok", "records": 0}}
2026-05-05T11:10:22Z | +0 new | 1157 total | sources: {"capitol_trades": {"status": "ok", "records": 1191}, "senate_github": {"status": "ok", "records": 0}}
2026-05-05T15:40:04Z | +3 new | 1160 total | sources: {"capitol_trades": {"status": "ok", "records": 1197}, "senate_github": {"status": "ok", "records": 0}}
2026-05-05T19:25:07Z | +3 new | 1163 total | sources: {"capitol_trades": {"status": "ok", "records": 1197}, "senate_github": {"status": "ok", "records": 0}}
2026-05-05T23:00:57Z | +0 new | 1163 total | sources: {"capitol_trades": {"status": "ok", "records": 1197}, "senate_github": {"status": "ok", "records": 0}}
2026-05-06T11:43:44Z | +0 new | 1163 total | sources: {"capitol_trades": {"status": "ok", "records": 1180}, "senate_github": {"status": "ok", "records": 0}}
2026-05-06T15:57:14Z | +8 new | 1171 total | sources: {"capitol_trades": {"status": "ok", "records": 1188}, "senate_github": {"status": "ok", "records": 0}}
2026-05-06T19:49:21Z | +0 new | 1171 total | sources: {"capitol_trades": {"status": "ok", "records": 1188}, "senate_github": {"status": "ok", "records": 0}}
2026-05-06T22:57:35Z | +0 new | 1171 total | sources: {"capitol_trades": {"status": "ok", "records": 1188}, "senate_github": {"status": "ok", "records": 0}}
2026-05-07T11:42:37Z | +4 new | 1175 total | sources: {"capitol_trades": {"status": "ok", "records": 1192}, "senate_github": {"status": "ok", "records": 0}}
2026-05-07T15:57:53Z | +25 new | 1200 total | sources: {"capitol_trades": {"status": "ok", "records": 1218}, "senate_github": {"status": "ok", "records": 0}}
2026-05-07T19:45:38Z | +3 new | 1203 total | sources: {"capitol_trades": {"status": "ok", "records": 1220}, "senate_github": {"status": "ok", "records": 0}}
2026-05-07T23:04:35Z | +0 new | 1203 total | sources: {"capitol_trades": {"status": "ok", "records": 1220}, "senate_github": {"status": "ok", "records": 0}}
2026-05-08T11:02:06Z | +0 new | 1203 total | sources: {"capitol_trades": {"status": "ok", "records": 1020}, "senate_github": {"status": "ok", "records": 0}}
2026-05-08T15:12:58Z | +11 new | 1214 total | sources: {"capitol_trades": {"status": "ok", "records": 1034}, "senate_github": {"status": "ok", "records": 0}}
2026-05-08T19:22:04Z | +0 new | 1214 total | sources: {"capitol_trades": {"status": "ok", "records": 1034}, "senate_github": {"status": "ok", "records": 0}}
2026-05-08T23:01:40Z | +0 new | 1214 total | sources: {"capitol_trades": {"status": "ok", "records": 1034}, "senate_github": {"status": "ok", "records": 0}}
2026-05-09T11:00:05Z | +0 new | 1214 total | sources: {"capitol_trades": {"status": "ok", "records": 370}, "senate_github": {"status": "ok", "records": 0}}
2026-05-11T12:34:52Z | +0 new | 1214 total | sources: {"capitol_trades": {"status": "ok", "records": 275}, "senate_github": {"status": "ok", "records": 0}}
2026-05-11T16:23:31Z | +221 new | 1435 total | sources: {"capitol_trades": {"status": "ok", "records": 516}, "senate_github": {"status": "ok", "records": 0}}
2026-05-11T19:51:28Z | +0 new | 1435 total | sources: {"capitol_trades": {"status": "ok", "records": 516}, "senate_github": {"status": "ok", "records": 0}}
2026-05-11T23:00:52Z | +0 new | 1435 total | sources: {"capitol_trades": {"status": "ok", "records": 516}, "senate_github": {"status": "ok", "records": 0}}
2026-05-12T11:46:59Z | +7 new | 1442 total | sources: {"capitol_trades": {"status": "ok", "records": 523}, "senate_github": {"status": "ok", "records": 0}}
2026-05-12T16:11:30Z | +1 new | 1443 total | sources: {"capitol_trades": {"status": "ok", "records": 524}, "senate_github": {"status": "ok", "records": 0}}
2026-05-12T19:56:24Z | +0 new | 1443 total | sources: {"capitol_trades": {"status": "ok", "records": 524}, "senate_github": {"status": "ok", "records": 0}}
2026-05-12T23:08:41Z | +0 new | 1443 total | sources: {"capitol_trades": {"status": "ok", "records": 524}, "senate_github": {"status": "ok", "records": 0}}
2026-05-13T11:54:47Z | +0 new | 1443 total | sources: {"capitol_trades": {"status": "ok", "records": 524}, "senate_github": {"status": "ok", "records": 0}}
2026-05-13T16:13:17Z | +8 new | 1451 total | sources: {"capitol_trades": {"status": "ok", "records": 535}, "senate_github": {"status": "ok", "records": 0}}
2026-05-13T19:58:48Z | +0 new | 1451 total | sources: {"capitol_trades": {"status": "ok", "records": 535}, "senate_github": {"status": "ok", "records": 0}}
2026-05-13T23:12:01Z | +0 new | 1451 total | sources: {"capitol_trades": {"status": "ok", "records": 535}, "senate_github": {"status": "ok", "records": 0}}
2026-05-14T11:43:23Z | +368 new | 1819 total | sources: {"capitol_trades": {"status": "ok", "records": 898}, "senate_github": {"status": "ok", "records": 0}}
2026-05-14T16:03:14Z | +7 new | 1826 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-05-14T19:49:12Z | +0 new | 1826 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-05-14T23:03:02Z | +0 new | 1826 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-05-15T11:46:41Z | +0 new | 1826 total | sources: {"capitol_trades": {"status": "ok", "records": 907}, "senate_github": {"status": "ok", "records": 0}}
2026-05-15T15:54:49Z | +2 new | 1828 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-05-15T19:41:21Z | +0 new | 1828 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-05-15T23:01:57Z | +0 new | 1828 total | sources: {"capitol_trades": {"status": "ok", "records": 909}, "senate_github": {"status": "ok", "records": 0}}
2026-05-16T11:04:30Z | +0 new | 1828 total | sources: {"capitol_trades": {"status": "ok", "records": 892}, "senate_github": {"status": "ok", "records": 0}}
2026-05-18T13:00:02Z | +3 new | 1831 total | sources: {"capitol_trades": {"status": "ok", "records": 890}, "senate_github": {"status": "ok", "records": 0}}
2026-05-18T16:43:14Z | +7 new | 1838 total | sources: {"capitol_trades": {"status": "ok", "records": 897}, "senate_github": {"status": "ok", "records": 0}}
2026-05-18T19:47:19Z | +0 new | 1838 total | sources: {"capitol_trades": {"status": "ok", "records": 897}, "senate_github": {"status": "ok", "records": 0}}
2026-05-18T23:10:24Z | +0 new | 1838 total | sources: {"capitol_trades": {"status": "ok", "records": 897}, "senate_github": {"status": "ok", "records": 0}}
